시도,시군구,읍면,도로명
대구광역시,남구,,계명6길
대구광역시,남구,,안지랑로18길
대구광역시,남구,,대경길
대구광역시,남구,,명덕로38길
대구광역시,남구,,중앙대로47길
대구광역시,남구,,중앙대로40길
대구광역시,남구,,현충로50길
대구광역시,남구,,현충로48길
대구광역시,남구,,명덕로18길
대구광역시,남구,,현충로
대구광역시,남구,,계명중앙1길
대구광역시,남구,,현충로39길
대구광역시,남구,,성당로
대구광역시,남구,,현충로24길
대구광역시,남구,,앞산순환로
대구광역시,남구,,삼각지6길
대구광역시,남구,,현충로5길
대구광역시,남구,,두류공원로
대구광역시,남구,,장전1길
대구광역시,남구,,성당로30길
대구광역시,남구,,장전3길
대구광역시,남구,,중앙대로50길
대구광역시,남구,,명덕로16길
대구광역시,남구,,큰골7길
대구광역시,남구,,안지랑로13길
대구광역시,남구,,대륙3길
대구광역시,남구,,안지시장1길
대구광역시,남구,,큰골9길
대구광역시,남구,,양지북길
대구광역시,남구,,명덕로10길
대구광역시,남구,,도촌길
대구광역시,남구,,앞산순환로87길
대구광역시,남구,,두류공원로17길
대구광역시,남구,,안지랑로16길
대구광역시,남구,,대명복개로2길
대구광역시,남구,,명덕시장길
대구광역시,남구,,안지랑로7길
대구광역시,남구,,대경3길
대구광역시,남구,,대명로57길
대구광역시,남구,,현충로7길
대구광역시,남구,,명덕로
대구광역시,남구,,대명로
대구광역시,남구,,현충로25길
대구광역시,남구,,현충로37길
대구광역시,남구,,중앙대로31길
대구광역시,남구,,안지랑로6길
대구광역시,남구,,대명남로
대구광역시,남구,,삼각지1길
대구광역시,남구,,안지랑로
대구광역시,남구,,명덕로28길
대구광역시,남구,,양지남길
대구광역시,남구,,계명4길
대구광역시,남구,,성당로60길
대구광역시,남구,,장전2길
대구광역시,남구,,계명5길
대구광역시,남구,,명덕로12길
대구광역시,남구,,성당로62길
대구광역시,남구,,두류공원로12길
대구광역시,남구,,명덕로26길
대구광역시,남구,,두류공원로5길
대구광역시,남구,,계명3길
대구광역시,남구,,장전5길
대구광역시,남구,,명덕로34길
대구광역시,남구,,삼각지3길
대구광역시,남구,,현충로31길
대구광역시,남구,,중앙대로
대구광역시,남구,,영선길
대구광역시,남구,,성당로50길
대구광역시,남구,,명덕로8길
대구광역시,남구,,성당로18길
대구광역시,남구,,자유6길
대구광역시,남구,,명덕로20길
대구광역시,남구,,안골2길
대구광역시,남구,,대명서로
대구광역시,남구,,대명서6길
대구광역시,남구,,관문시장2길
대구광역시,남구,,관문시장1길
대구광역시,남구,,관문시장5길
대구광역시,남구,,안지랑로11길
대구광역시,남구,,대경5길
대구광역시,남구,,두류공원로13길
대구광역시,남구,,현충로40길
대구광역시,남구,,이천로19길
대구광역시,남구,,성당로58길
대구광역시,남구,,현충로29길
대구광역시,남구,,월배로
대구광역시,남구,,명덕로36길
대구광역시,남구,,대명복개로4길
대구광역시,남구,,관문시장4길
대구광역시,남구,,명덕로32길
대구광역시,남구,,중앙대로45길
대구광역시,남구,,두류공원로20길
대구광역시,남구,,대명로58길
대구광역시,남구,,큰골길
대구광역시,남구,,대명역2길
대구광역시,남구,,현충로8길
대구광역시,남구,,대명복개로13길
대구광역시,남구,,현충서길
대구광역시,남구,,명덕로14길
대구광역시,남구,,자유5길
대구광역시,남구,,현충로42길
대구광역시,남구,,현충로18길
대구광역시,남구,,자유3길
대구광역시,남구,,계명1길
대구광역시,남구,,대명로53길
대구광역시,남구,,양지로
대구광역시,남구,,현충로26길
대구광역시,남구,,큰골5길
대구광역시,남구,,대명복개로1길
대구광역시,남구,,대명로25길
대구광역시,남구,,앞산순환로93길
대구광역시,남구,,현충로32길
대구광역시,남구,,현충동길
대구광역시,남구,,큰골4길
대구광역시,남구,,현충로19길
대구광역시,남구,,두류공원로18길
대구광역시,남구,,대명서7길
대구광역시,남구,,대명복개로
대구광역시,남구,,이천로25길
대구광역시,남구,,중앙대로36길
대구광역시,남구,,현충로27길
대구광역시,남구,,대명남2길
대구광역시,남구,,앞산순환로89길
대구광역시,남구,,계명2길
대구광역시,남구,,대륙1길
대구광역시,남구,,삼각지4길
대구광역시,남구,,대덕초등길
대구광역시,남구,,현충로46길
대구광역시,남구,,양지로6길
대구광역시,남구,,두류공원로9길
대구광역시,남구,,대명서2길
대구광역시,남구,,중앙대로42길
대구광역시,남구,,영선시장2길
대구광역시,남구,,현충로28길
대구광역시,남구,,자유2길
대구광역시,남구,,관문시장6길
대구광역시,남구,,앞산순환로81길
대구광역시,남구,,성당로48길
대구광역시,남구,,삼각지5길
대구광역시,남구,,현충로6길
대구광역시,남구,,현충로36길
대구광역시,남구,,현충로23길
대구광역시,남구,,대명로21길
대구광역시,남구,,성당로34길
대구광역시,남구,,대명로15길
대구광역시,남구,,중앙대로34길
대구광역시,남구,,대명로20길
대구광역시,남구,,광덕시장북길
대구광역시,남구,,안지랑로17길
대구광역시,남구,,큰골10길
대구광역시,남구,,삼각지2길
대구광역시,남구,,안골3길
대구광역시,남구,,현충로20길
대구광역시,남구,,대명로47길
대구광역시,남구,,안골1길
대구광역시,남구,,대명복개로3길
대구광역시,남구,,큰골6길
대구광역시,남구,,봉덕로1길
대구광역시,남구,,대명로30길
대구광역시,남구,,대명역6길
대구광역시,남구,,현충로1길
대구광역시,남구,,중앙대로38길
대구광역시,남구,,대명로36길
대구광역시,남구,,큰골3길
대구광역시,남구,,큰골8길
대구광역시,남구,,앞산순환로99길
대구광역시,남구,,대명로49길
대구광역시,남구,,두류공원로16길
대구광역시,남구,,두류공원로15길
대구광역시,남구,,성당로28길
대구광역시,남구,,두류공원로19길
대구광역시,남구,,골안길
대구광역시,남구,,자유1길
대구광역시,남구,,안지랑로2길
대구광역시,남구,,중앙대로46길
대구광역시,남구,,대명서1길
대구광역시,남구,,대명로10길
대구광역시,남구,,대명로6길
대구광역시,남구,,자유샛길
대구광역시,남구,,자유4길
대구광역시,남구,,안지랑로5길
대구광역시,남구,,대경6길
대구광역시,남구,,안지랑로20길
대구광역시,남구,,앞산순환로79길
대구광역시,남구,,현충로16길
대구광역시,남구,,대명서3길
대구광역시,남구,,현충로15길
대구광역시,남구,,영선시장1길
대구광역시,남구,,대명남1길
대구광역시,남구,,앞산순환로75길
대구광역시,남구,,대명서4길
대구광역시,남구,,명덕로40길
대구광역시,남구,,중앙대로51길
대구광역시,남구,,대명서5길
대구광역시,남구,,명덕로48길
대구광역시,남구,,대명로14길
대구광역시,남구,,명덕로42길
대구광역시,남구,,명덕로24길
대구광역시,남구,,명덕로30길
대구광역시,남구,,중앙대로41길
대구광역시,남구,,장천1길
대구광역시,남구,,장천2길
대구광역시,남구,,중앙대로27길
대구광역시,남구,,안지랑로19길
대구광역시,남구,,장전4길
대구광역시,남구,,성명공원길
대구광역시,남구,,경상2길
대구광역시,남구,,안지시장2길
대구광역시,남구,,관문시장3길
대구광역시,남구,,큰골1길
대구광역시,남구,,계명7길
대구광역시,남구,,대덕북길
대구광역시,남구,,양지로14길
대구광역시,남구,,양지로16길
대구광역시,남구,,대명로19길
대구광역시,남구,,앞산순환로69길
대구광역시,남구,,앞산순환로63길
대구광역시,남구,,대명역1길
대구광역시,남구,,안지랑로21길
대구광역시,남구,,현충로12길
대구광역시,남구,,안지랑로14길
대구광역시,남구,,앞산순환로71길
대구광역시,남구,,대명로60길
대구광역시,남구,,중앙대로35길
대구광역시,남구,,중앙대로21길
대구광역시,남구,,대명로22길
대구광역시,남구,,경상1길
대구광역시,남구,,양지로8길
대구광역시,남구,,대경2길
대구광역시,남구,,경상길
대구광역시,남구,,현충로3길
대구광역시,남구,,대경7길
대구광역시,남구,,명덕로22길
대구광역시,남구,,앞산순환로95길
대구광역시,남구,,양지로3길
대구광역시,남구,,안지랑로3길
대구광역시,남구,,양지로1길
대구광역시,남구,,명덕로46길
대구광역시,남구,,대경1길
대구광역시,남구,,자유길
대구광역시,남구,,안지랑로8길
대구광역시,남구,,안골길
대구광역시,남구,,백의2길
대구광역시,남구,,대명로13길
대구광역시,남구,,중앙대로29길
대구광역시,남구,,백의1길
대구광역시,남구,,중앙대로48길
대구광역시,남구,,중앙대로54길
대구광역시,남구,,번덕길
대구광역시,남구,,대명서안길
대구광역시,남구,,매자안길
대구광역시,남구,,대명복개로7길
대구광역시,남구,,중앙대로49길
대구광역시,남구,,성당로46길
대구광역시,남구,,양지로10길
대구광역시,남구,,안지랑로15길
대구광역시,남구,,계명8길
대구광역시,남구,,양지로2길
대구광역시,남구,,성당시장길
대구광역시,남구,,월배로94길
대구광역시,남구,,안지랑로10길
대구광역시,남구,,큰골2길
대구광역시,남구,,중앙대로52길
대구광역시,남구,,대명서8길
대구광역시,남구,,대경4길
대구광역시,남구,,대륙2길
대구광역시,남구,,양지로12길
대구광역시,남구,,양지로13길
대구광역시,남구,,봉덕로7길
대구광역시,남구,,봉덕로9길
대구광역시,남구,,명덕로50길
대구광역시,남구,,봉덕로21길
대구광역시,남구,,효성로
대구광역시,남구,,봉덕남로
대구광역시,남구,,이천로6길
대구광역시,남구,,이천로
대구광역시,남구,,효동길
대구광역시,남구,,봉덕로10길
대구광역시,남구,,고산1길
대구광역시,남구,,대덕로31길
대구광역시,남구,,봉덕로18길
대구광역시,남구,,봉덕로11길
대구광역시,남구,,고산2길
대구광역시,남구,,중앙대로22길
대구광역시,남구,,봉덕로13길
대구광역시,남구,,봉덕로17길
대구광역시,남구,,봉덕로
대구광역시,남구,,삼정3길
대구광역시,남구,,신천서쪽자전거길
대구광역시,남구,,대봉로
대구광역시,남구,,봉덕로28길
대구광역시,남구,,이천로8길
대구광역시,남구,,중앙대로26길
대구광역시,남구,,용두2길
대구광역시,남구,,봉덕로6길
대구광역시,남구,,대덕로29길
대구광역시,남구,,삼정4길
대구광역시,남구,,삼정1길
대구광역시,남구,,중앙대로32길
대구광역시,남구,,고산4길
대구광역시,남구,,중앙대로28길
대구광역시,남구,,삼정2길
대구광역시,남구,,삼정길
대구광역시,남구,,이천로7길
대구광역시,남구,,효서4길
대구광역시,남구,,효성2길
대구광역시,남구,,신촌2길
대구광역시,남구,,대덕로40길
대구광역시,남구,,효성중앙길
대구광역시,남구,,봉덕로22길
대구광역시,남구,,봉덕로2길
대구광역시,남구,,고산3길
대구광역시,남구,,이천로5길
대구광역시,남구,,희망로
대구광역시,남구,,대덕로30길
대구광역시,남구,,효서길
대구광역시,남구,,대덕로
대구광역시,남구,,봉덕초등길
대구광역시,남구,,봉덕로19길
대구광역시,남구,,용두1길
대구광역시,남구,,중앙대로30길
대구광역시,남구,,봉덕로25길
대구광역시,남구,,용두방천3길
대구광역시,남구,,이천로10길
대구광역시,남구,,봉덕로27길
대구광역시,남구,,봉덕로24길
대구광역시,남구,,봉덕로26길
대구광역시,남구,,이천로9길
대구광역시,남구,,희망로3길
대구광역시,남구,,용두길
대구광역시,남구,,신촌길
대구광역시,남구,,이천로1길
대구광역시,남구,,효동1길
대구광역시,남구,,봉덕공원길
대구광역시,남구,,대덕로38길
대구광역시,남구,,대봉로19길
대구광역시,남구,,대봉로17길
대구광역시,남구,,대봉로14길
대구광역시,남구,,이천로12길
대구광역시,남구,,봉덕로12길
대구광역시,남구,,봉덕로5길
대구광역시,남구,,삼정안길
대구광역시,남구,,대덕로33길
대구광역시,남구,,대덕로36길
대구광역시,남구,,대봉로3길
대구광역시,남구,,신촌1길
대구광역시,남구,,효명길
대구광역시,남구,,효동2길
대구광역시,남구,,희망로1길
대구광역시,남구,,효성3길
대구광역시,남구,,효성1길
대구광역시,남구,,봉덕로23길
대구광역시,남구,,봉덕로20길
대구광역시,남구,,효서2길
대구광역시,남구,,명덕로52길
대구광역시,남구,,이천로29길
대구광역시,남구,,대봉로30길
대구광역시,남구,,이천로28길
대구광역시,남구,,대봉로26길
대구광역시,남구,,명덕로54길
대구광역시,남구,,대봉로34길
대구광역시,남구,,명덕로68길
대구광역시,남구,,대봉로20길
대구광역시,남구,,이천로27길
대구광역시,남구,,명덕로64길
대구광역시,남구,,희망로5길
대구광역시,남구,,명덕로66길
대구광역시,남구,,이천로32길
대구광역시,남구,,희망로7길
대구광역시,남구,,봉덕로29길
대구광역시,남구,,이천로26길
대구광역시,남구,,마태산길
대구광역시,남구,,대봉로32길
대구광역시,남구,,대봉로18길
대구광역시,남구,,대봉로36길
대구광역시,남구,,이천로31길
대구광역시,남구,,대봉로38길
대구광역시,남구,,용두방천2길
대구광역시,달서구,,성서로45길
대구광역시,달서구,,성서공단로39길
대구광역시,달서구,,성서서로36안길
대구광역시,달서구,,성서공단북로
대구광역시,달서구,,성서서로36길
대구광역시,달서구,,달구벌대로250길
대구광역시,달서구,,성서로
대구광역시,달서구,,성서로68길
대구광역시,달서구,,성서공단로25길
대구광역시,달서구,,달서대로88길
대구광역시,달서구,,성서공단북로59길
대구광역시,달서구,,성서로67길
대구광역시,달서구,,성서공단북로42길
대구광역시,달서구,,성서서로48길
대구광역시,달서구,,성서로64길
대구광역시,달서구,,성서공단북로65길
대구광역시,달서구,,성서서로33길
대구광역시,달서구,,성서서로25안길
대구광역시,달서구,,성서공단로35길
대구광역시,달서구,,성서서로42길
대구광역시,달서구,,성서공단로21길
대구광역시,달서구,,달서대로94길
대구광역시,달서구,,성서서로34길
대구광역시,달서구,,성서서로
대구광역시,달서구,,성서공단로
대구광역시,달서구,,성서공단북로69길
대구광역시,달서구,,성서동로53안길
대구광역시,달서구,,성서로71길
대구광역시,달서구,,성서서로25길
대구광역시,달서구,,달서대로
대구광역시,달서구,,성서로67안길
대구광역시,달서구,,성서공단북로60길
대구광역시,달서구,,성서서로40길
대구광역시,달서구,,성서로72길
대구광역시,달서구,,죽전4길
대구광역시,달서구,,감삼남길
대구광역시,달서구,,달구벌대로332길
대구광역시,달서구,,와룡로
대구광역시,달서구,,당산로41길
대구광역시,달서구,,감삼북길
대구광역시,달서구,,당산로21길
대구광역시,달서구,,죽전2길
대구광역시,달서구,,당산로41서길
대구광역시,달서구,,달구벌대로
대구광역시,달서구,,감삼길
대구광역시,달서구,,당산로
대구광역시,달서구,,장기로
대구광역시,달서구,,감삼4길
대구광역시,달서구,,감삼북1길
대구광역시,달서구,,감삼남2안길
대구광역시,달서구,,달구벌대로308길
대구광역시,달서구,,달구벌대로323길
대구광역시,달서구,,와룡로28길
대구광역시,달서구,,감삼2길
대구광역시,달서구,,달구벌대로329길
대구광역시,달서구,,감삼5길
대구광역시,달서구,,당산로41동길
대구광역시,달서구,,와룡로28안길
대구광역시,달서구,,감삼북2길
대구광역시,달서구,,감삼남1길
대구광역시,달서구,,와룡로54길
대구광역시,달서구,,달구벌대로329안길
대구광역시,달서구,,당산로45길
대구광역시,달서구,,죽전길
대구광역시,달서구,,감삼1길
대구광역시,달서구,,감삼남6길
대구광역시,달서구,,감삼3길
대구광역시,달서구,,와룡로32길
대구광역시,달서구,,죽전3길
대구광역시,달서구,,감삼남3길
대구광역시,달서구,,감삼남4길
대구광역시,달서구,,와룡로31길
대구광역시,달서구,,감삼남2길
대구광역시,달서구,,감삼남5길
대구광역시,달서구,,달구벌대로330길
대구광역시,달서구,,달구벌대로304길
대구광역시,달서구,,장기로36안길
대구광역시,달서구,,장기로36길
대구광역시,달서구,,와룡로33길
대구광역시,달서구,,용산로
대구광역시,달서구,,용산로24길
대구광역시,달서구,,당산로21안길
대구광역시,달서구,,달구벌대로323안길
대구광역시,달서구,,장기로38길
대구광역시,달서구,,한실로6길
대구광역시,달서구,,갈밭로4길
대구광역시,달서구,,갈밭남로9길
대구광역시,달서구,,갈밭로16길
대구광역시,달서구,,갈밭로
대구광역시,달서구,,명천로10길
대구광역시,달서구,,화암로71길
대구광역시,달서구,,비슬로550길
대구광역시,달서구,,갈밭남로
대구광역시,달서구,,갈밭남로8길
대구광역시,달서구,,갈밭로12길
대구광역시,달서구,,서산로
대구광역시,달서구,,비슬로
대구광역시,달서구,,명천로
대구광역시,달서구,,화암로
대구광역시,달서구,,화암로73길
대구광역시,달서구,,비슬로542길
대구광역시,달서구,,상화로8길
대구광역시,달서구,,상화로
대구광역시,달서구,,비슬로538길
대구광역시,달서구,,비슬로540길
대구광역시,달서구,,한실로
대구광역시,달서구,,조암남로
대구광역시,달서구,,달서대로58길
대구광역시,달서구,,조암남로32길
대구광역시,달서구,,진천로
대구광역시,달서구,,조암남로27길
대구광역시,달서구,,성서4차첨단로
대구광역시,달서구,,조암남로28길
대구광역시,달서구,,성서로5길
대구광역시,달서구,,진천로23길
대구광역시,달서구,,진천로18길
대구광역시,달서구,,성서로9길
대구광역시,달서구,,성서공단남로
대구광역시,달서구,,월배로11길
대구광역시,달서구,,월암로
대구광역시,달서구,,성서동로
대구광역시,달서구,,조암남로26길
대구광역시,달서구,,성서공단남로10길
대구광역시,달서구,,성서공단남로6길
대구광역시,달서구,,달서대로58안길
대구광역시,달서구,,달서대로64길
대구광역시,달서구,,달서대로64안길
대구광역시,달서구,,조암남로19길
대구광역시,달서구,,월배로23길
대구광역시,달서구,,조암로
대구광역시,달서구,,월곡로
대구광역시,달서구,,상화로58길
대구광역시,달서구,,수밭길
대구광역시,달서구,,앞산터널로
대구광역시,달서구,,수밭동길
대구광역시,달서구,,상화로62길
대구광역시,달서구,,도원로동길
대구광역시,달서구,,미리샘길
대구광역시,달서구,,도원로
대구광역시,달서구,,도원로서길
대구광역시,달서구,,도원남로
대구광역시,달서구,,두류공원로50길
대구광역시,달서구,,명덕로2길
대구광역시,달서구,,두류남3길
대구광역시,달서구,,명덕로
대구광역시,달서구,,두류공원로
대구광역시,달서구,,두류남2길
대구광역시,달서구,,파도고개로11길
대구광역시,달서구,,성당로
대구광역시,달서구,,달구벌대로344길
대구광역시,달서구,,두류남길
대구광역시,달서구,,성당로47길
대구광역시,달서구,,공원순환로
대구광역시,달서구,,성당로53길
대구광역시,달서구,,야외음악당로47길
대구광역시,달서구,,야외음악당로
대구광역시,달서구,,당산로38길
대구광역시,달서구,,성당로51길
대구광역시,달서구,,야외음악당로39길
대구광역시,달서구,,두류6길
대구광역시,달서구,,파도고개로
대구광역시,달서구,,야외음악당로39서길
대구광역시,달서구,,야외음악당로41길
대구광역시,달서구,,밤골1길
대구광역시,달서구,,달구벌대로340길
대구광역시,달서구,,당산로30길
대구광역시,달서구,,야외음악당로49길
대구광역시,달서구,,야외음악당로39동길
대구광역시,달서구,,당산로36길
대구광역시,달서구,,두류길
대구광역시,달서구,,두류5길
대구광역시,달서구,,파도고개로24길
대구광역시,달서구,,두류2길
대구광역시,달서구,,두류남9길
대구광역시,달서구,,성당로39길
대구광역시,달서구,,두류남5길
대구광역시,달서구,,야외음악당로33길
대구광역시,달서구,,밤골4길
대구광역시,달서구,,파도고개로13길
대구광역시,달서구,,파도고개로12길
대구광역시,달서구,,야외음악당로47안길
대구광역시,달서구,,야외음악당로39안길
대구광역시,달서구,,성당로45길
대구광역시,달서구,,파도고개로20길
대구광역시,달서구,,파도고개로28길
대구광역시,달서구,,파도고개로26길
대구광역시,달서구,,두류남1길
대구광역시,달서구,,두류4길
대구광역시,달서구,,달구벌대로378길
대구광역시,달서구,,달구벌대로368길
대구광역시,달서구,,두류4안길
대구광역시,달서구,,두류남7길
대구광역시,달서구,,야외음악당로45길
대구광역시,달서구,,야외음악당로41안길
대구광역시,달서구,,두류공원로49길
대구광역시,달서구,,성당로33길
대구광역시,달서구,,파도고개로7길
대구광역시,달서구,,두류1길
대구광역시,달서구,,야외음악당로51길
대구광역시,달서구,,두류남4길
대구광역시,달서구,,야외음악당로49안길
대구광역시,달서구,,성당로47안길
대구광역시,달서구,,야외음악당로53길
대구광역시,달서구,,밤골2길
대구광역시,달서구,,야외음악당로55길
대구광역시,달서구,,당산로40길
대구광역시,달서구,,야외음악당로57길
대구광역시,달서구,,파도고개로30길
대구광역시,달서구,,밤골3길
대구광역시,달서구,,두류남6길
대구광역시,달서구,,파도고개로18길
대구광역시,달서구,,밤골길
대구광역시,달서구,,파도고개로16길
대구광역시,달서구,,파도고개로14길
대구광역시,달서구,,두류남8길
대구광역시,달서구,,두류3길
대구광역시,달서구,,큰장로
대구광역시,달서구,,야외음악당로37길
대구광역시,달서구,,야외음악당로33안길
대구광역시,달서구,,와룡로2길
대구광역시,달서구,,구마로
대구광역시,달서구,,와룡로4길
대구광역시,달서구,,학산로
대구광역시,달서구,,구마로26안길
대구광역시,달서구,,학산로19길
대구광역시,달서구,,송현로
대구광역시,달서구,,구마로36길
대구광역시,달서구,,와룡로5길
대구광역시,달서구,,와룡로9길
대구광역시,달서구,,구마로14길
대구광역시,달서구,,와룡로10길
대구광역시,달서구,,구마로12길
대구광역시,달서구,,월곡로94길
대구광역시,달서구,,구마로14남길
대구광역시,달서구,,학산로25길
대구광역시,달서구,,학산로7안길
대구광역시,달서구,,구마로14북길
대구광역시,달서구,,구마로26길
대구광역시,달서구,,학산로7길
대구광역시,달서구,,와룡로4안길
대구광역시,달서구,,월성로
대구광역시,달서구,,와룡로10안길
대구광역시,달서구,,구마로10길
대구광역시,달서구,,송현로25길
대구광역시,달서구,,와룡로13길
대구광역시,달서구,,와룡로15길
대구광역시,달서구,,대명천로45길
대구광역시,달서구,,와룡로16길
대구광역시,달서구,,용산로4길
대구광역시,달서구,,용산로4안길
대구광역시,달서구,,본리서4길
대구광역시,달서구,,구마로11길
대구광역시,달서구,,본리서길
대구광역시,달서구,,와룡로24길
대구광역시,달서구,,대명천로
대구광역시,달서구,,대명천로47길
대구광역시,달서구,,와룡로22길
대구광역시,달서구,,와룡로17길
대구광역시,달서구,,와룡로18길
대구광역시,달서구,,와룡로14길
대구광역시,달서구,,본리서5길
대구광역시,달서구,,대명천로55길
대구광역시,달서구,,대명천로51길
대구광역시,달서구,,대명천로38길
대구광역시,달서구,,대명천로41길
대구광역시,달서구,,본리서1길
대구광역시,달서구,,본리서2길
대구광역시,달서구,,본리서3길
대구광역시,달서구,,대명천로42길
대구광역시,달서구,,구마로21길
대구광역시,달서구,,대명천로43길
대구광역시,달서구,,구마로9길
대구광역시,달서구,,월곡로53길
대구광역시,달서구,,월곡로47길
대구광역시,달서구,,월곡로51길
대구광역시,달서구,,월곡로53동길
대구광역시,달서구,,월곡로45길
대구광역시,달서구,,상원로15길
대구광역시,달서구,,송현로11길
대구광역시,달서구,,월곡로47안길
대구광역시,달서구,,월배로40길
대구광역시,달서구,,월배로
대구광역시,달서구,,상원로1길
대구광역시,달서구,,월서로3길
대구광역시,달서구,,월배로39길
대구광역시,달서구,,상원로11길
대구광역시,달서구,,송현로7길
대구광역시,달서구,,월배로38길
대구광역시,달서구,,월배로46길
대구광역시,달서구,,월배로32길
대구광역시,달서구,,상원로9길
대구광역시,달서구,,월곡로53서길
대구광역시,달서구,,월곡로26길
대구광역시,달서구,,상화로35길
대구광역시,달서구,,송현로7안길
대구광역시,달서구,,상인로26안길
대구광역시,달서구,,상인로26길
대구광역시,달서구,,월배로42길
대구광역시,달서구,,앞산순환로
대구광역시,달서구,,상원로5길
대구광역시,달서구,,상원로3길
대구광역시,달서구,,월곡로27길
대구광역시,달서구,,상원로
대구광역시,달서구,,상원로13길
대구광역시,달서구,,상화북로
대구광역시,달서구,,상원로5안길
대구광역시,달서구,,학산남로
대구광역시,달서구,,상원로4길
대구광역시,달서구,,월배로48길
대구광역시,달서구,,월배로28길
대구광역시,달서구,,상인로
대구광역시,달서구,,상화북로43길
대구광역시,달서구,,월배로34길
대구광역시,달서구,,상인로18길
대구광역시,달서구,,월곡로26안길
대구광역시,달서구,,상인서로
대구광역시,달서구,,월곡로20길
대구광역시,달서구,,상인로9안길
대구광역시,달서구,,월서로
대구광역시,달서구,,월곡로28길
대구광역시,달서구,,월곡로45안길
대구광역시,달서구,,월곡로35길
대구광역시,달서구,,상화로57길
대구광역시,달서구,,상화로59길
대구광역시,달서구,,상화로51안길
대구광역시,달서구,,상인로9길
대구광역시,달서구,,상인서로10길
대구광역시,달서구,,월배로32안길
대구광역시,달서구,,월곡로43길
대구광역시,달서구,,월곡로32길
대구광역시,달서구,,상인로5길
대구광역시,달서구,,야외음악당로13길
대구광역시,달서구,,장기로10길
대구광역시,달서구,,장기로12길
대구광역시,달서구,,장기로26길
대구광역시,달서구,,구마로53길
대구광역시,달서구,,장기로5길
